keys;en;pt
Cut;Cut;Recortar
Copy;Copy;Copiar
Paste;Paste;Colar
Select All;Select all;Selecionar tudo
Clear;Clear;Limpar
Undo;Undo;Desfazer
Redo;Redo;Refazer
Help;Help;Ajuda
Credits;Credits;Créditos
License;License;Licença
Version;Version;Versão
Source code;Source code;Código fonte
Home page;Home page;Página inicial
Learn more about NinStar;Learn more about NinStar;Saiba mais sobre NinStar
Connected;Connected;Conectado
Connecting...;Connecting...;Conectando...
Disconnected;Disconnected;Desconectado
Connect to Discord;Connect to Discord;Conectar ao Discord
Apply status on Discord;Apply status on Discord;Aplicar status no Discord
No pending changes;No pending changes;Nenhuma alteração pendente
Status visibility;Status visibility;Visibilidade do status
Recent;Recent;Recente
Visibility;Visibility;Visibilidade
About;About;Sobre
Update app;Update app;Atualizar aplicativo
Settings;Settings;Configurações
Platforms;Platforms;Plataformas
Details;Details;Detalhes
Games;Games;Jogos
Game system;Game system;Sistema de jogos
Wii U;Wii U;Wii U
Nintendo Switch;Nintendo Switch;Nintendo Switch
Nintendo 3DS;Nintendo 3DS;Nintendo 3DS
Preferred region;Preferred region;Região de preferência
Americas;Americas;Américas
Europe;Europe;Europa
Japan;Japan;Japão
Verified games;Verified games;Jogos verificados
Verified games will display a title and icon according to the selected region.;Verified games will display a title and\nicon according to the selected region.;Jogos verificados exibirão um título e\num ícone de acordo com a região selecionada.
Nintendo Network ID;Nintendo Network ID;ID da Nintendo Network
Friend Code;Friend Code;Código de amigo (FC)
Always display ID as an icon;Always display ID as an icon;Sempre exibir o ID como um ícone
It ensures that your ID or Friend Code is always shown as a small icon next to the icon of the game you are playing. Even when you don’t have a description set.;It ensures that your ID or Friend Code is always shown as a small icon next to the icon of the game you are playing. Even when you don’t have a description set.;Garante que seu ID ou Friend Code seja sempre mostrado como um pequeno ícone ao lado do ícone do jogo que você está jogando. Mesmo quando você não tem uma descrição definida.
Display elapsed time;Display elapsed time;Exibir tempo decorrido
Preserve elapsed time;Preserve elapsed time;Preservar tempo decorrido
Your elapsed won’t be reseted when changing games.;Your elapsed won’t be reseted when changing games.;Seu tempo decorrido não será redefinido ao alternar jogos.
Search button on status;Search button on status;Botão de pesquisa no status
Allows other people to quickly search for the game you are currently playing.;Allows other people to quickly search for the game you are currently playing.;Permite que outros possam pesquisar rapidamente pelo jogo que você está jogando no momento.
Game;Game;Jogo
Type here to find a game;Type here to find a game;Digite aqui para buscar por um jogo
You have not selected a game. Only your console name will be displayed.;You have not selected a game. Only your console name will be displayed.;Você não selecionou um jogo. Apenas o nome do seu console será exibido.
Custom entry. The text typed will be used as a title in your status.;Custom entry. The text typed will be used as a title in your status.;Entrada personalizada. O texto digitado será usado como título no seu status.
Description;Description;Descrição
A text to be displayed below the game title.;A text to be displayed below the game title.;Um texto para ser mostrado abaixo do título do jogo.
Party size;Party size;Tamanho da sala
of;of;de
Rename game;Rename game;Renomear jogo
Any text placed in this field will take priority over the specified region title.;Any text placed in this field will take priority over the specified region title.;Qualquer texto colocado neste campo terá prioridade sobre o título da região especificada.
Custom title;Custom title;Título personalizado
Game region;Game region;Regão do jogo
Default;Default;Padrão
Language;Language;Idioma
Automatic;Automatic;Automático
Theme;Theme;Tema
Dark;Dark;Escuro
Light;Light;Claro
Interface scale;Interface scale;Escala da interface
Apply;Apply;Aplicar
Check for new titles;Check for new titles;Checar por novos títulos
Every 12 hours;Every 12 hours;A cada 12 horas
Every day;Every day;Todos os dias
Every week;Every week;Toda semana
Never;Never;Nunca
Check now;Check now;Checar agora
This action will be performed every time you open the app accordingly to the set time interval.;This action will be performed every time you open the app accordingly to the set time interval.;Esta ação será executada toda vez que você abrir o aplicativo de acordo com o intervalo de tempo definido.
Auto connect on start;Auto connect on start;Conexão automática ao iniciar
When launched, the application will automatically attempt to connect to Discord.;When launched, the application will automatically attempt to connect to Discord.;Quando iniciado, o aplicativo tentará automaticamente se conectar ao Discord.
Debug log;Debug log;Registro de depuração
Generates a log file for troubleshooting.;Generates a log file for troubleshooting.;Gera um arquivo de log para solução de problemas.
Data;Data;Dados
Clear cache;Clear cache;Limpar cache
Reset everything;Reset all data;Redefinir tudo
Be aware that these actions can’t be undone.;Be aware that these actions can’t be undone.;Esteja ciente de que essas ações não podem ser desfeitas.
Preparing... It will just take a moment.;Preparing...\nIt will just take a moment.;Preparando...\nVai levar apenas um momento.
Downloading files... It will just take a moment.;Downloading files...\nIt will just take a moment.;Baixando arquivos...\nVai levar apenas um momento.
Downloading files... Almost there.;Downloading files...\nAlmost there.;Baixando arquivos...\nQuase lá.
Done!;Done!;Pronto!
All configurations will be reseted to default, including your per-game settings. Are you sure you want to proceed with this action? The app will be closed after this.;All configurations will be reseted to default, including your per-game settings.\n\nAre you sure you want to proceed with this action?\n\nThe app will be closed after this.;Todas as configurações serão redefinidas para a padrão, incluindo suas configurações por jogo.\n\nTem certeza de que quer continuar com essa ação?\n\nO aplicativo será fechado depois disso.
Yes. Reset everything;Yes. Reset everything;Sim. Redefina tudo
Downloaded and temporary files will be removed. No changes will be made to your settings. The database will be updated right after finishing this action.;Downloaded and temporary files will be removed. No changes will be made to your settings.\n\nThe database will be updated right after finishing this action.;Arquivos baixados e temporários serão removidos. Nenhuma alteração será feita nas suas configurações.\n\nA base de dados será atualizada logo em seguida.
Yes. Clear cache;Yes. Clear cache;Sim. Limpe cache
Never mind...;Never mind...;Deixa pra lá...
Connection error;Connection error;Erro de conexão
Unable to establish a connection with Discord. Check your internet connection or try to restart the app, make sure you are using the desktop version of Discord.;Unable to establish a connection with Discord.\n\nCheck your internet connection or try to restart the app, make sure you are using the desktop version of Discord.;Não foi possível estabelecer uma conexão com o Discord.\n\nVerifique sua conexão com a internet ou tente reiniciar o aplicativo, certifique-se de estar usando a versão desktop do Discord.
OK;OK;OK
Close;Close;Fechar
Hold on!;Hold on!;Espera ai!
Your status is currently invisible. Make it visible again so you can see your changes on Discord. Be aware that It will take immediate effect when toggling it.;Your status is currently invisible.\n\nMake it visible again so you can see your changes on Discord.\n\nBe aware that It will take immediate effect when toggling it.;Seu status está invisível no momento.\n\nTorne-o visível novamente para que você possa ver suas alterações no Discord.\n\nEsteja ciente de que terá efeito imediato ao alterná-lo.
Alright;Alright;Certo
New version available;New version available;Nova versão disponível
Would you like to be redirected to the download page?;Would you like to be redirected to the download page?;Gostaria de ser redirecionado para página de download?
Sure!;Sure!;Claro!
Maybe later...;Maybe later...;Talvez depois...
